id,source,title,description,url,published_at,collected_at
cwy2gj2jlr8o?at_medium=RSS&at_campaign=rss,BBC News,Rosenberg: Russia's Victory Day parade with no tanks a sign Ukraine war not going to plan,"For the first time in nearly two decades, there will be no military hardware, just soldiers during Saturday's parade in Moscow.",https://www.bbc.com/news/articles/cwy2gj2jlr8o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 16:00:05 GMT",2026-05-08T05:49:39.848281
c4g93v8jqnyo?at_medium=RSS&at_campaign=rss,BBC News,Anti-war protests rock Japan as PM pushes for stronger defence,Japan's largest anti-war protests in decades highlight a population divided over changes to its pacifist constitution.,https://www.bbc.com/news/articles/c4g93v8jqnyo?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 22:15:51 GMT",2026-05-08T05:49:39.848297
c98r199e195o?at_medium=RSS&at_campaign=rss,BBC News,How worried should we be about hantavirus?,Some passengers potentially exposed to hantavirus have already taken flights to numerous countries.,https://www.bbc.com/news/articles/c98r199e195o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 15:01:07 GMT",2026-05-08T05:49:39.848315
cq6py38q81ro?at_medium=RSS&at_campaign=rss,BBC News,Five killed in huge fire at packed Mexico fairground,"The blaze in the south-eastern city of Villahermosa erupted during a concert reportedly attended by some 135,000 people.",https://www.bbc.com/news/articles/cq6py38q81ro?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 21:08:35 GMT",2026-05-08T05:49:39.848331
c62ex9ykl53o?at_medium=RSS&at_campaign=rss,BBC News,Crowds cheer China's new snooker star on return from championship win,"Wu Yize, 22, receives a rock star's welcome after becoming second-youngest player to win a world title.",https://www.bbc.com/news/articles/c62ex9ykl53o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 20:59:43 GMT",2026-05-08T05:49:39.848347
c62r52l107po?at_medium=RSS&at_campaign=rss,BBC News,US to revoke passports of parents with child support debt,"Parents who have outstanding debt of more than $2,500 (€1,844) in child support payments could be impacted.",https://www.bbc.com/news/articles/c62r52l107po?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 02:57:48 GMT",2026-05-08T05:49:39.848363
c2421d3r736o?at_medium=RSS&at_campaign=rss,BBC News,"Grogu is real star of new Star Wars film, says Pedro Pascal",The Mandalorian and Grogu marks Star Wars' return to cinemas for the first time in more than six years.,https://www.bbc.com/news/articles/c2421d3r736o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 20:36:03 GMT",2026-05-08T05:49:39.848379
cp3pyk4nw3lo?at_medium=RSS&at_campaign=rss,BBC News,Trump gives EU ultimatum deadline to approve trade deal with US,Trump's deadline to the European Union came as a trade court ruled his global tariff policy violated US law.,https://www.bbc.com/news/articles/cp3pyk4nw3lo?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 23:11:35 GMT",2026-05-08T05:49:39.848395
c0m2wjlkzplo?at_medium=RSS&at_campaign=rss,BBC News,UK immigration officer among two men guilty of working for Chinese intelligence,"Chi Leung ""Peter"" Wai used the main immigration database to track Hong Kong dissidents in the UK.",https://www.bbc.com/news/articles/c0m2wjlkzplo?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 17:09:29 GMT",2026-05-08T05:49:39.848411
cgjp5q6xvg9o?at_medium=RSS&at_campaign=rss,BBC News,Shakira unveils official World Cup 2026 song,Colombian pop star Shakira unveils her official song for the 2026 World Cup.,https://www.bbc.com/sport/football/articles/cgjp5q6xvg9o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 19:47:26 GMT",2026-05-08T05:49:39.848427
10628994?at_medium=RSS&at_campaign=rss,BBC News,BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,"Wed, 30 Apr 2025 14:04:28 GMT",2026-05-08T05:49:39.848444
p0njf9sj?at_medium=RSS&at_campaign=rss,BBC News,Electioncast: It’s Time To Vote!,"Adam, Laura, Chris, James and Felicity bring you one last update before the polls open.",https://www.bbc.co.uk/sounds/play/p0njf9sj?at_medium=RSS&at_campaign=rss,"Wed, 06 May 2026 19:08:00 GMT",2026-05-08T05:49:39.848460
p0njpzv3?at_medium=RSS&at_campaign=rss,BBC News,Is Donald Trump close to finishing his war with Iran?,Or has the US president lost control?,https://www.bbc.co.uk/sounds/play/p0njpzv3?at_medium=RSS&at_campaign=rss,"Wed, 06 May 2026 18:02:00 GMT",2026-05-08T05:49:39.848476
m002v46m?at_mid=LGSOf6Jgtl&at_campaign=McCartney_The_Hunt_for_the_Lost_Bass&at_medium=display_ad&at_campaign_type=owned&at_nation=NET&at_audience_id=SS&at_product=iplayer&at_brand=m002v46m&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=McCartney_The_Hunt_for_the_Lost_Bass&at_bbc_team=BBC,BBC News,Paul McCartney’s 'lost bass’ and its remarkable return after 51 years,The story of Paul McCartney’s original Höfner bass and the fan-powered quest to find it.,https://www.bbc.co.uk/iplayer/episode/m002v46m?at_mid=LGSOf6Jgtl&at_campaign=McCartney_The_Hunt_for_the_Lost_Bass&at_medium=display_ad&at_campaign_type=owned&at_nation=NET&at_audience_id=SS&at_product=iplayer&at_brand=m002v46m&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=McCartney_The_Hunt_for_the_Lost_Bass&at_bbc_team=BBC,"Sat, 11 Apr 2026 21:15:47 GMT",2026-05-08T05:49:39.848493
cddpy80r5dgo?at_medium=RSS&at_campaign=rss,BBC News,Vibrant and victorious - Villa ready to end 30-year trophy drought,When Unai Emery arrived at Aston Villa he declared he wanted to win trophies. He is now just a game away from silverware after a crushing Europa League semi-final win against Nottingham Forest.,https://www.bbc.com/sport/football/articles/cddpy80r5dgo?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 23:06:44 GMT",2026-05-08T05:49:39.848509
cdepl8k6y5no?at_medium=RSS&at_campaign=rss,BBC News,Glasner's long Palace goodbye sets up 'perfect' finale,"Crystal Palace desperately did not want to be in the Conference League - now they are one game from winning it and creating more club history and a ""perfect"" finale for boss Oliver Glasner.",https://www.bbc.com/sport/football/articles/cdepl8k6y5no?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 23:10:19 GMT",2026-05-08T05:49:39.848530
c62dz1j0e25o?at_medium=RSS&at_campaign=rss,BBC News,Littler beats Humphries for record-equalling win,Luke Littler beats Luke Humphries to claim a third successive night win and a record-equalling sixth in this season's Premier League.,https://www.bbc.com/sport/darts/articles/c62dz1j0e25o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 22:15:06 GMT",2026-05-08T05:49:39.848546
c98r4218l73o?at_medium=RSS&at_campaign=rss,BBC News,Valverde cut head when he 'accidentally hit table' in Tchouameni row,"Federico Valverde went to hospital after a dressing room row with Real Madrid team-mate Aurelien Tchouameni which left him with a head injury after he ""accidentally hit a table"".",https://www.bbc.com/sport/football/articles/c98r4218l73o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 21:40:26 GMT",2026-05-08T05:49:39.848562
cn7pv5nrvglo?at_medium=RSS&at_campaign=rss,BBC News,Alexander-Arnold's England omission 'mind-boggling' to Rooney,"Former England captain Wayne Rooney says it is ""mind-boggling"" that Trent Alexander-Arnold was left out of Thomas Tuchel's final squad before the World Cup.",https://www.bbc.com/sport/football/articles/cn7pv5nrvglo?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:08:22 GMT",2026-05-08T05:49:39.848580
cpwpdpqd0z0o?at_medium=RSS&at_campaign=rss,BBC News,England's Kemp never considered future during injury woe,England all-rounder Freya Kemp says she did not consider retirement or continuing her career solely as a batter during her recent injury woes.,https://www.bbc.com/sport/cricket/articles/cpwpdpqd0z0o?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:28:01 GMT",2026-05-08T05:49:39.848599
c302m1m2z3qo?at_medium=RSS&at_campaign=rss,BBC News,'I'll collect the trash' - Dubois on Wardley's bin-man jibe,"Daniel Dubois responds to fellow British heavyweight Fabio Wardley's ""bin-man"" jibe by vowing to make the world champion pay for the ""disrespect"".",https://www.bbc.com/sport/boxing/articles/c302m1m2z3qo?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 14:47:36 GMT",2026-05-08T05:49:39.848615
